0	"[0.31490683 0.05297546 0.05668808 0.09284092 0.0684224  0.04615182
 0.43489058]"
1	"[0.14303113 0.03115974 0.08446469 0.252292   0.15770579 0.03449315
 0.22833925]"
2	"[0.84205217 0.27730595 0.12008281 0.15542022 0.14755785 0.21458414
 0.67258999]"
3	"[0.56363297 0.12460655 0.07318018 0.2293318  0.63991089 0.19399771
 0.34414615]"
4	"[0.13349837 0.15199448 0.00925363 0.08155995 0.68447926 0.15353818
 0.39271492]"
5	"[0.82594662 0.57450245 0.33930037 0.200044   0.18542328 0.30939222
 0.736562  ]"
6	"[0.40559905 0.05192517 0.03364915 0.03424147 0.03877346 0.06314545
 0.49743568]"
7	"[0.14790637 0.06164037 0.30283464 0.22191143 0.0602295  0.01708126
 0.23312441]"
8	"[0.12791242 0.03037633 0.04261561 0.07905396 0.10540989 0.05091096
 0.47641177]"
9	"[0.21550802 0.35543547 0.21171348 0.87514134 0.00339956 0.67537921
 0.60117274]"
10	"[0.35630329 0.07432549 0.07990083 0.05240238 0.04450749 0.11053995
 0.69057504]"
11	"[0.520467   0.17397272 0.12436027 0.1195427  0.14608591 0.53050538
 0.98733653]"
12	"[0.82785925 0.31205776 0.13380689 0.16018845 0.34492014 0.67993235
 0.88773389]"
13	"[0.62441759 0.12815962 0.06820045 0.05366245 0.05239755 0.03679992
 0.1215416 ]"
14	"[0.58558952 0.21915564 0.1956529  0.13160198 0.15160593 0.27397473
 0.76605776]"
15	"[0.78569041 0.09685485 0.01772287 0.05879617 0.07664423 0.0897441
 0.78990685]"
16	"[0.41264555 0.03126002 0.04021574 0.11072318 0.10693554 0.13190537
 0.40096398]"
17	"[0.35208056 0.05137658 0.04585983 0.07954361 0.10996073 0.16792704
 0.63228428]"
18	"[0.57479793 0.11889537 0.06140834 0.03338073 0.04497389 0.08301694
 0.46720211]"
19	"[0.60282837 0.07829435 0.04499663 0.05558426 0.05693166 0.06523472
 0.40691512]"
20	"[0.90837822 0.68411933 0.64015326 0.77940672 0.80024791 0.88672723
 0.88137047]"
21	"[0.79456661 0.18888889 0.05879571 0.04250221 0.04714816 0.06433485
 0.35216032]"
22	"[0.2017178  0.73165715 0.67861001 0.32505358 0.12164652 0.65012952
 0.42757815]"
23	"[0.64528981 0.28038126 0.24312325 0.0991908  0.04855251 0.14688427
 0.69239575]"
24	"[0.53190891 0.08067631 0.03945458 0.12238432 0.1645865  0.08794709
 0.41048529]"
25	"[0.41991183 0.07774175 0.04254074 0.03559611 0.0478698  0.0519122
 0.3912551 ]"
26	"[0.5350495  0.0693005  0.03178216 0.03085584 0.04372416 0.06856355
 0.40591203]"
27	"[0.37176751 0.07207027 0.08016313 0.05951898 0.06972557 0.12385273
 0.45091553]"
28	"[0.2466321  0.07448991 0.07697433 0.04302532 0.0520965  0.07258835
 0.47552487]"
29	"[0.32824297 0.08629234 0.07151842 0.05055739 0.06737182 0.05052443
 0.40257296]"
30	"[0.75157139 0.23563921 0.126725   0.1581717  0.2431707  0.21633009
 0.54382498]"
31	"[0.37900225 0.06627657 0.04850683 0.04192219 0.0559797  0.07847485
 0.45000478]"
32	"[0.53902385 0.10119536 0.07082959 0.05263872 0.05044299 0.10252257
 0.66354463]"
33	"[0.26841856 0.04221287 0.04231995 0.15561202 0.17616066 0.04753159
 0.32373353]"
34	"[0.37456808 0.04650334 0.07508669 0.01413184 0.04919286 0.07843294
 0.47756792]"
35	"[0.71414744 0.27751013 0.25346333 0.08540283 0.04922399 0.08395516
 0.53870785]"
36	"[0.88011347 0.25871422 0.22247522 0.05303366 0.51974502 0.39584705
 0.27462583]"
37	"[0.30377964 0.0778608  0.08204898 0.02938143 0.08998758 0.30640098
 0.73033169]"
38	"[0.19037114 0.46383787 0.63070948 0.31709181 0.93608019 0.5212379
 0.93723661]"
39	"[0.94326541 0.4770101  0.3436692  0.43067131 0.35045454 0.43329394
 0.75002919]"
40	"[0.35767628 0.08367408 0.04014572 0.0248136  0.05189556 0.21042819
 0.84695559]"
41	"[0.23154326 0.04352198 0.01677851 0.12386516 0.97021352 0.33390629
 0.28635272]"
42	"[0.50787523 0.20293357 0.44649772 0.22507154 0.09384112 0.10028331
 0.47154248]"
43	"[0.56468295 0.15063503 0.08433464 0.18660343 0.25411491 0.19370907
 0.71690495]"
44	"[0.51924468 0.11353073 0.35652159 0.64894298 0.18389545 0.19963863
 0.69023514]"
45	"[0.39852588 0.06632177 0.0838292  0.06483479 0.04330405 0.10005618
 0.60826892]"
46	"[0.25038269 0.0488438  0.08353346 0.08125184 0.0478338  0.04917919
 0.43042279]"
47	"[0.25165385 0.0785404  0.05549873 0.03824484 0.06389357 0.16049104
 0.81575779]"
