0	[528 528 990 880 528 528]
1	[880 880 990 990 990 792]
2	[220 154 154 220 154 220]
3	[110 110 110 418 418 110]
4	[48048 80080 30030 36960 68640 30030]
5	[286 286 286 132 286 286]
6	[ 88  88  88  88  88 110]
7	[198 990 990 990 220 198]
8	[264 660 110 110 264 660]
9	[23562 15708 13464 20944 11088 15708]
10	[ 924  924 1540  770  770 1980]
11	[154 154 154 176 176 616]
12	[374 176 176 176 374 374]
13	[110 110 110 110  88  88]
14	[176 198 176 198 176 198]
15	[1870  374  374 1870  330 1870]
16	[ 924  924 2244 2618 2618 2244]
17	[1210 1210 2178 1980 2178 2178]
18	[1870 1870 1320 1320 1496 1870]
19	[110  88 110 110 110  88]
20	[462 308 528 528 462 528]
21	[110 110 110  88 110  88]
22	[52668 48906 52668 38038 36036 52668]
23	[220 198 220 110 110 198]
24	[1760 1210 1210 3872 1760 1210]
25	[ 88 110  88  88 110  88]
26	[110  88  88  88  88 110]
27	[ 990 1056  880 1056 1056  990]
28	[330 770 462 462 462 462]
29	[ 484 1210  440 1210  484  484]
30	[176 176 176 242 176 176]
31	[110 110  88 110 110  88]
32	[110 110 110 110 110  88]
33	[ 440  770  616 3080  616  616]
34	[ 88  88  88 110 110  88]
35	[198 198 198 110 110 110]
36	[ 7524  7524  7524  6732 63954 14212]
37	[ 968 4114 1496 1496 4114 4114]
38	[16830 47124 16830 16830 13860 13090]
39	[616 154 264 462 264 264]
40	[ 924  924  660  770  770 3080]
41	[110 110  88 110 110  88]
42	[110 220 660 110 110 132]
43	[154 154 154 264 154 154]
44	[198  88 198  88  88 198]
45	[418 418 836 352 418 836]
46	[440 792 990 990 440 792]
47	[ 528 2288  528 1716  858 3432]
48	[220 220 220 220 220 154]
49	[110  88  88  88  88 110]
50	[110 110 110 110  88  88]
51	[ 6006  6006  8008 10296  5544  5544]
52	[ 88  88 418  88  88 418]
53	[ 924 2772  770 6930  770 1980]
54	[154 154 154 198 198 154]
55	[ 5148  2002  2772 12012  6006  5148]
56	[ 88  88  88  88 110 110]
57	[2772 1540 1540 1980 2310 2772]
58	[ 880  880 1232  770 1232 1232]
59	[396 396 396 286 396 286]
60	[ 132  748  132 1122  132 1122]
61	[ 88 110  88 110 110 110]
62	[176 176 198 176 198 176]
63	[ 88 110 110 110  88 110]
64	[1584 3366 2992 2244 2244 1584]
65	[ 836  396  396  396  836 3762]
66	[374 154 374 374 154 374]
67	[374 374 418 374 418 418]
68	[ 616 1386 2772 2772  396 2772]
69	[ 5016 18810 25080  3960 18810  4180]
70	[ 88  88 110  88 440 132]
71	[ 528 1760 1320 1320 1320  330]
72	[ 88 154  88  88  88 154]
73	[ 88 110 110  88  88 110]
74	[110  88 110  88 110 110]
75	[ 8778  6270  8778  4620 29260  8778]
76	[ 88  88 110 110  88  88]
77	[4862 5610 5610 4290 4290 4290]
78	[176 110 110 110 220 176]
79	[ 330 1056  660  660 1056  440]
80	[ 88  88  88  88 110  88]
81	[198  88  88 198  88  88]
82	[286 286 286 396 286 396]
83	[286 198 198 286 198 198]
84	[110 110 110 110 110  88]
85	[113696  20064 113696  17952  20064  21318]
86	[ 88  88 110 110  88  88]
87	[132 110 110 132 132 110]
88	[1210 2420 1980 2178 2420 2420]
89	[ 4356  6292  6292  5148 28314  4356]
90	[110 110 110 110  88  88]
91	[2904 1320 1210 1320 2904 1320]
92	[176 286 286 286 572 176]
93	[ 88 110  88  88  88 110]
94	[32032 24024  6006  6864  7392 24024]
95	[418 418 220 418 220 418]
96	[220 418 220 220 220 220]
97	[176 176 176 154 616 154]
98	[264 154 264 154 154 264]
99	[ 88 110 110  88  88  88]
100	[110 110 110  88 110  88]
101	[ 462 1056 1232 1056 3696 1056]
102	[20592 15840 15840 20592 22880 12870]
103	[ 220 2090  220 2090  418  220]
104	[1672 6270 4180 1320 6270 1672]
105	[ 88  88 110  88  88 110]
106	[1584 1232 1232 1232 1386 1232]
107	[1254  264  264 1672  264 1672]
108	[ 616  616 1584 1386  616 1584]
109	[396 110 330 660 110 396]
110	[3872 5280 3872 5280 3872 3630]
111	[ 88  88 110 110 110 110]
112	[110 110  88 110  88 110]
113	[ 88 110 110  88 110 110]
114	[3762 1980 2090 2090 1980 3762]
115	[2992 2288 4862 2288 4862 2288]
116	[198 418 418 418 418 418]
117	[198 858 198 286 198 198]
118	[264 110 264 264 264 110]
119	[2288 2288 2288 2574 1584 1584]
120	[ 4840  8470 33880  6776  6160  4840]
121	[ 5720 24310 19448  7480 19448  5720]
122	[ 88 110  88 110 110  88]
123	[154 154 330 154 154 154]
124	[110 110  88 110  88 110]
125	[110  88 110  88 110 110]
126	[ 88  88 110  88  88  88]
127	[110 110 110  88 110 110]
128	[1672  792 3762 3762  792 3762]
129	[15246 30492 15246 13552 17424 22176]
130	[110 110  88 110 110  88]
131	[ 880 1936  880 1936 1210 1210]
132	[ 88 110 110 110  88  88]
133	[110 110  88 110  88 110]
134	[ 836 3762 3762  792 3762  792]
135	[110 110  88 110  88  88]
136	[ 88 110 110 110 110  88]
137	[6292 9438 5808 9438 6864 9438]
138	[110  88 110 110  88 110]
139	[1210 1210 3146 1430 1210 3146]
140	[2772 2178 3388 3388 3388 3388]
141	[1760 2090 6688 6688 1760 6688]
142	[110  88 110 110 110 110]
143	[880 880 176 880 110 110]
144	[1980 2178 1980 7260 1210 2178]
145	[374 242 374 242 374 374]
146	[176 176 176 176 110 176]
147	[110 154 154 154 154 110]
148	[110 242 242 110 242 242]
149	[ 2310 12320  4620  2640  2640  3696]
