0	[0.00052207 0.00027477]
1	[0.00030225 0.00049459]
2	[0.00019234 0.00013739]
3	[0.00049459 0.00019234]
4	[0.00046711 0.0002473 ]
5	[1.09909091e-04 8.24318182e-05]
6	[0.00049459 0.00019234]
7	[0.00041216 0.00019234]
8	[0.00043964 0.00030225]
9	[0.00052207 0.00016486]
10	[0.00019234 0.00021982]
11	[0.00021982 0.00019234]
12	[0.00019234 0.00013739]
13	[0.00041216 0.00021982]
14	[0.00021982 0.00019234]
15	[0.00021982 0.0002473 ]
16	[0.00030225 0.00013739]
17	[0.00049459 0.00030225]
18	[0.00013739 0.00016486]
19	[0.00019234 0.00021982]
20	[0.0003572  0.00049459]
21	[0.00021982 0.00019234]
22	[0.00032973 0.00052207]
23	[0.00021982 0.00013739]
24	[0.00016486 0.00046711]
25	[8.24318182e-05 5.49545455e-05]
26	[5.49545455e-05 8.24318182e-05]
27	[0.0002473  0.00013739]
28	[8.24318182e-05 5.22068182e-04]
29	[0.00046711 0.00052207]
30	[5.49545455e-05 8.24318182e-05]
31	[8.24318182e-05 3.02250000e-04]
32	[5.49545455e-05 8.24318182e-05]
33	[0.0003572  0.00046711]
34	[0.00013739 0.00052207]
35	[0.0003572  0.00041216]
36	[0.00021982 0.00041216]
37	[5.49545455e-05 8.24318182e-05]
38	[5.49545455e-05 8.24318182e-05]
39	[0.00041216 0.00021982]
40	[0.00019234 0.00021982]
41	[0.00010991 0.00030225]
42	[5.49545455e-05 8.24318182e-05]
43	[5.49545455e-05 8.24318182e-05]
44	[0.00013739 0.0003572 ]
45	[8.24318182e-05 5.49545455e-05]
46	[0.0002473  0.00013739]
47	[0.00038468 0.00046711]
48	[8.24318182e-05 3.02250000e-04]
49	[0.00041216 0.00052207]
