0	[0.0011935 0.000341  0.000434  0.000341  0.000341  0.002387 ]
1	[0.000248  0.000124  0.0001395 0.000248  0.000248  0.000124 ]
2	[0.002418  0.000403  0.002418  0.0006045 0.000372  0.001209 ]
3	[0.000124  0.000124  0.000527  0.0002635 0.001054  0.000124 ]
4	[1.085e-04 1.085e-04 6.200e-05 1.085e-04 1.085e-04 1.085e-04]
5	[0.0002635 0.0002635 0.0002635 0.0002635 0.0002945 0.0002945]
6	[0.0002015 0.000155  0.0002015 0.000155  0.0002015 0.000155 ]
7	[0.0001705 0.0001705 0.0001085 0.0001705 0.0001705 0.0001085]
8	[6.200e-05 2.945e-04 6.200e-05 2.945e-04 6.200e-05 2.945e-04]
9	[0.00031   0.000279  0.0006975 0.00031   0.00031   0.000279 ]
10	[0.0002015 0.0002015 0.000248  0.0002015 0.000248  0.000248 ]
11	[0.0002015 0.000124  0.0002015 0.000124  0.000124  0.000124 ]
12	[0.0044175 0.002356  0.00186   0.002356  0.002356  0.002356 ]
13	[1.085e-04 1.085e-04 1.085e-04 1.085e-04 1.085e-04 6.200e-05]
14	[1.085e-04 1.085e-04 1.085e-04 1.085e-04 1.085e-04 6.200e-05]
15	[1.085e-04 1.085e-04 1.085e-04 1.085e-04 1.085e-04 6.200e-05]
16	[0.0002325 0.0002325 0.0002945 0.0002945 0.0002325 0.0002325]
17	[0.00031   0.000186  0.00062   0.000186  0.0002325 0.00031  ]
18	[6.200e-05 1.085e-04 1.085e-04 1.085e-04 6.200e-05 6.200e-05]
19	[0.000465  0.0014725 0.0014725 0.000589  0.000465  0.0014725]
20	[0.0002325 0.0002635 0.0002325 0.0002635 0.0002635 0.0002325]
21	[6.200e-05 1.085e-04 1.085e-04 6.200e-05 1.085e-04 6.200e-05]
22	[1.085e-04 6.200e-05 6.200e-05 1.085e-04 6.200e-05 6.200e-05]
23	[0.000217  0.001953  0.000217  0.0009765 0.0003255 0.000279 ]
24	[0.000868  0.000124  0.000868  0.0001085 0.000868  0.0001085]
25	[0.00124   0.001116  0.000744  0.001116  0.0006975 0.00186  ]
26	[0.000248  0.0001705 0.000248  0.000248  0.0001705 0.000248 ]
27	[0.002418  0.002046  0.008866  0.0066495 0.0066495 0.0066495]
28	[0.0014725 0.008835  0.001767  0.002945  0.001395  0.002945 ]
29	[1.085e-04 1.085e-04 1.085e-04 6.200e-05 6.200e-05 6.200e-05]
30	[0.003255  0.0005425 0.00093   0.0016275 0.0016275 0.001302 ]
31	[0.003224  0.0034255 0.004216  0.004216  0.0034255 0.004216 ]
32	[1.085e-04 9.300e-05 9.300e-05 1.085e-04 1.085e-04 1.085e-04]
33	[0.000279  0.0009765 0.0009765 0.000217  0.0009765 0.000279 ]
34	[0.0013175 0.0023715 0.0013175 0.0023715 0.001395  0.0023715]
35	[0.000217  0.0002635 0.000217  0.0002635 0.000217  0.000217 ]
36	[0.0009765 0.000217  0.0001395 0.0001395 0.000217  0.000217 ]
37	[7.750e-05 1.395e-04 7.750e-05 7.750e-05 7.750e-05 7.750e-05]
38	[1.085e-04 6.200e-05 1.085e-04 6.200e-05 6.200e-05 1.085e-04]
39	[0.000124  0.000124  0.0001395 0.000124  0.0001395 0.0001395]
40	[1.085e-04 9.300e-05 1.085e-04 1.085e-04 1.085e-04 9.300e-05]
41	[0.000465  0.000558  0.000155  0.000558  0.0006975 0.0006975]
42	[0.004216  0.0013175 0.0013175 0.0013175 0.004216  0.00124  ]
43	[0.0039525 0.0030225 0.0034255 0.0030225 0.0039525 0.0030225]
44	[6.200e-05 1.085e-04 1.085e-04 1.085e-04 6.200e-05 6.200e-05]
45	[6.200e-05 1.085e-04 1.085e-04 1.085e-04 6.200e-05 1.085e-04]
46	[0.000248  0.000248  0.000248  0.0001705 0.0001705 0.000248 ]
47	[0.0002945 0.0002945 0.0008835 0.0001395 0.0002945 0.0001395]
48	[6.200e-05 1.085e-04 6.200e-05 6.200e-05 1.085e-04 6.200e-05]
49	[7.75e-05 7.75e-05 1.24e-04 1.24e-04 7.75e-05 7.75e-05]
50	[0.01953   0.00558   0.007812  0.00434   0.002604  0.0048825]
51	[6.200e-05 6.200e-05 1.085e-04 1.085e-04 6.200e-05 6.200e-05]
52	[0.00279   0.001705  0.0076725 0.001705  0.00279   0.006138 ]
53	[6.200e-05 6.200e-05 2.325e-04 2.325e-04 6.200e-05 2.325e-04]
54	[0.000279  0.0023715 0.001581  0.000279  0.0002635 0.001581 ]
55	[0.0002325 0.00031   0.0002325 0.000372  0.0002325 0.00031  ]
56	[0.0016275 0.005208  0.005208  0.00186   0.0016275 0.00217  ]
57	[0.00124   0.001116  0.0006975 0.00062   0.001116  0.00062  ]
58	[0.0002635 0.0002635 0.0001395 0.0001395 0.0002635 0.0002635]
59	[0.0050065 0.0050065 0.004216  0.004712  0.020026  0.004216 ]
60	[1.085e-04 6.200e-05 1.085e-04 1.085e-04 6.200e-05 6.200e-05]
61	[0.0001705 0.0001705 0.000279  0.0001705 0.000279  0.000279 ]
62	[1.085e-04 6.200e-05 6.200e-05 6.200e-05 1.085e-04 6.200e-05]
63	[0.000465  0.000465  0.000651  0.001085  0.000651  0.0002325]
64	[9.300e-05 9.300e-05 2.015e-04 2.015e-04 2.015e-04 9.300e-05]
65	[0.0039525 0.0025575 0.0028985 0.0039525 0.0039525 0.0028985]
66	[6.200e-05 1.085e-04 6.200e-05 6.200e-05 6.200e-05 1.085e-04]
67	[0.0001085 0.0001085 0.000279  0.000279  0.0001085 0.000279 ]
68	[6.200e-05 1.085e-04 6.200e-05 1.085e-04 1.085e-04 1.085e-04]
69	[9.30e-05 9.30e-05 7.75e-05 7.75e-05 9.30e-05 7.75e-05]
70	[1.085e-04 1.085e-04 1.085e-04 6.200e-05 6.200e-05 1.085e-04]
71	[1.085e-04 6.200e-05 6.200e-05 1.085e-04 6.200e-05 1.085e-04]
72	[0.000186  0.0008835 0.0002945 0.0008835 0.0008835 0.0008835]
73	[0.000527  0.000279  0.000527  0.000279  0.0023715 0.0023715]
74	[0.000279  0.0007905 0.0002635 0.0007905 0.0002635 0.0002635]
75	[0.0002015 0.0002015 0.0001395 0.0001395 0.0002015 0.0002015]
76	[6.200e-05 1.085e-04 6.200e-05 6.200e-05 1.085e-04 6.200e-05]
77	[0.0002945 0.000155  0.0002945 0.000155  0.000155  0.0002945]
78	[0.003069  0.005301  0.0032395 0.005301  0.003069  0.005301 ]
79	[0.0014105 0.008463  0.0014105 0.001209  0.001302  0.001302 ]
80	[7.750e-05 2.015e-04 7.750e-05 2.015e-04 2.015e-04 2.015e-04]
